originname,destinationname,hour,pax
Ashland,Back Bay,5,10
Ashland,Back Bay,6,4
Ashland,Back Bay,7,28
Ashland,Back Bay,8,10
Ashland,Back Bay,11,2
Ashland,Back Bay,14,2
Ashland,Back Bay,15,2
Ashland,Back Bay,16,18
Ashland,Back Bay,17,12
Ashland,Back Bay,18,4
Ashland,Back Bay,19,2
Ashland,Back Bay,20,2
Ashland,Grafton,10,4
Ashland,Lansdowne,6,42
Ashland,Lansdowne,7,82
Ashland,Lansdowne,8,18
Ashland,Lansdowne,10,10
Ashland,Lansdowne,11,2
Ashland,Lansdowne,14,8
Ashland,Lansdowne,16,2
Ashland,Lansdowne,17,8
Ashland,Lansdowne,19,34
Ashland,South Station,5,34
Ashland,South Station,6,24
Ashland,South Station,7,8
Ashland,South Station,8,2
Ashland,South Station,9,4
Ashland,South Station,10,2
Ashland,South Station,11,2
Ashland,South Station,12,2
Ashland,South Station,15,8
Ashland,South Station,16,8
Ashland,South Station,17,2
Ashland,South Station,18,8
Ashland,South Station,19,2
Ashland,South Station,20,8
Ashland,South Station,21,2
Ashland,South Station,22,2
Ashland,South Station,23,4
Ashland,Wellesley Square,9,14
Ashland,Worcester,17,12
Ashland,Worcester,20,12
Auburndale,Back Bay,6,2
Auburndale,Back Bay,7,4
Auburndale,Back Bay,8,8
Auburndale,Back Bay,9,2
Auburndale,Back Bay,15,12
Auburndale,Back Bay,16,10
Auburndale,Back Bay,17,4
Auburndale,Back Bay,18,2
Auburndale,Lansdowne,6,14
Auburndale,Lansdowne,13,6
Auburndale,Lansdowne,16,2
Auburndale,Lansdowne,18,2
Auburndale,South Station,5,2
Auburndale,South Station,6,6
Auburndale,South Station,7,4
Auburndale,South Station,8,60
Auburndale,South Station,9,16
Auburndale,South Station,11,2
Auburndale,South Station,13,2
Auburndale,South Station,15,2
Auburndale,South Station,16,18
Auburndale,South Station,17,12
Auburndale,South Station,18,2
Auburndale,South Station,19,2
Auburndale,Worcester,15,6
Auburndale,Worcester,17,28
Auburndale,Worcester,19,6
Auburndale,Worcester,21,2
Auburndale,Worcester,22,10
Back Bay,Ashland,5,56
Back Bay,Ashland,6,46
Back Bay,Ashland,7,10
Back Bay,Ashland,10,2
Back Bay,Ashland,11,4
Back Bay,Ashland,12,6
Back Bay,Ashland,13,32
Back Bay,Ashland,14,20
Back Bay,Ashland,15,4
Back Bay,Ashland,16,4
Back Bay,Ashland,17,4
Back Bay,Ashland,18,6
Back Bay,Ashland,19,20
Back Bay,Ashland,20,18
Back Bay,Ashland,21,8
Back Bay,Ashland,22,2
Back Bay,Auburndale,7,2
Back Bay,Auburndale,8,2
Back Bay,Auburndale,9,10
Back Bay,Auburndale,11,12
Back Bay,Auburndale,14,2
Back Bay,Auburndale,16,2
Back Bay,Auburndale,17,4
Back Bay,Auburndale,18,2
Back Bay,Auburndale,19,2
Back Bay,Auburndale,20,14
Back Bay,Boston Landing,6,32
Back Bay,Boston Landing,7,88
Back Bay,Boston Landing,8,36
Back Bay,Boston Landing,10,10
Back Bay,Boston Landing,12,2
Back Bay,Boston Landing,13,2
Back Bay,Boston Landing,15,4
Back Bay,Boston Landing,16,2
Back Bay,Boston Landing,17,6
Back Bay,Boston Landing,18,12
Back Bay,Boston Landing,19,18
Back Bay,Boston Landing,22,40
Back Bay,Framingham,6,28
Back Bay,Framingham,7,6
Back Bay,Framingham,8,2
Back Bay,Framingham,9,4
Back Bay,Framingham,11,2
Back Bay,Framingham,12,2
Back Bay,Framingham,13,8
Back Bay,Framingham,15,8
Back Bay,Framingham,16,2
Back Bay,Framingham,17,4
Back Bay,Framingham,18,8
Back Bay,Framingham,19,10
Back Bay,Framingham,20,2
Back Bay,Framingham,21,2
Back Bay,Framingham,22,2
Back Bay,Grafton,6,4
Back Bay,Grafton,7,22
Back Bay,Grafton,11,48
Back Bay,Grafton,15,8
Back Bay,Grafton,16,6
Back Bay,Grafton,17,2
Back Bay,Grafton,18,4
Back Bay,Grafton,19,8
Back Bay,Grafton,20,34
Back Bay,Natick Center,6,14
Back Bay,Natick Center,7,8
Back Bay,Natick Center,8,2
Back Bay,Natick Center,9,2
Back Bay,Natick Center,11,2
Back Bay,Natick Center,12,4
Back Bay,Natick Center,13,2
Back Bay,Natick Center,15,2
Back Bay,Natick Center,16,2
Back Bay,Natick Center,17,6
Back Bay,Natick Center,18,24
Back Bay,Natick Center,19,18
Back Bay,Natick Center,20,4
Back Bay,Natick Center,23,2
Back Bay,Newtonville,7,2
Back Bay,Newtonville,8,4
Back Bay,Newtonville,10,4
Back Bay,Newtonville,11,6
Back Bay,Newtonville,13,8
Back Bay,Newtonville,16,8
Back Bay,Newtonville,17,2
Back Bay,Newtonville,18,8
Back Bay,Newtonville,19,2
Back Bay,Southborough,5,2
Back Bay,Southborough,6,2
Back Bay,Southborough,7,34
Back Bay,Southborough,8,34
Back Bay,Southborough,9,44
Back Bay,Southborough,10,12
Back Bay,Southborough,11,2
Back Bay,Southborough,14,4
Back Bay,Southborough,15,2
Back Bay,Southborough,16,6
Back Bay,Southborough,17,4
Back Bay,Southborough,18,10
Back Bay,Southborough,19,10
Back Bay,Wellesley Farms,6,24
Back Bay,Wellesley Farms,7,4
Back Bay,Wellesley Farms,8,2
Back Bay,Wellesley Farms,11,2
Back Bay,Wellesley Farms,13,6
Back Bay,Wellesley Farms,15,6
Back Bay,Wellesley Farms,16,4
Back Bay,Wellesley Farms,17,4
Back Bay,Wellesley Farms,18,2
Back Bay,Wellesley Hills,6,2
Back Bay,Wellesley Hills,7,4
Back Bay,Wellesley Hills,8,6
Back Bay,Wellesley Hills,11,2
Back Bay,Wellesley Hills,15,2
Back Bay,Wellesley Hills,16,2
Back Bay,Wellesley Hills,17,2
Back Bay,Wellesley Hills,18,4
Back Bay,Wellesley Hills,19,20
Back Bay,Wellesley Square,6,10
Back Bay,Wellesley Square,7,4
Back Bay,Wellesley Square,8,4
Back Bay,Wellesley Square,14,2
Back Bay,Wellesley Square,15,4
Back Bay,Wellesley Square,16,6
Back Bay,Wellesley Square,17,10
Back Bay,Wellesley Square,18,4
Back Bay,Wellesley Square,19,6
Back Bay,Wellesley Square,20,2
Back Bay,West Natick,6,2
Back Bay,West Natick,7,6
Back Bay,West Natick,8,36
Back Bay,West Natick,9,28
Back Bay,West Natick,13,2
Back Bay,West Natick,14,4
Back Bay,West Natick,15,2
Back Bay,West Natick,16,22
Back Bay,West Natick,17,88
Back Bay,West Natick,18,52
Back Bay,West Natick,19,14
Back Bay,West Natick,20,6
Back Bay,West Natick,21,2
Back Bay,West Natick,22,2
Back Bay,West Natick,23,2
Back Bay,West Newton,5,6
Back Bay,West Newton,6,4
Back Bay,West Newton,7,30
Back Bay,West Newton,8,4
Back Bay,West Newton,16,4
Back Bay,West Newton,17,2
Back Bay,West Newton,18,6
Back Bay,West Newton,19,10
Back Bay,West Newton,20,2
Back Bay,Westborough,6,2
Back Bay,Westborough,7,2
Back Bay,Westborough,9,4
Back Bay,Westborough,13,2
Back Bay,Westborough,15,2
Back Bay,Westborough,16,14
Back Bay,Westborough,17,28
Back Bay,Westborough,18,62
Back Bay,Westborough,19,10
Back Bay,Westborough,20,2
Back Bay,Westborough,21,2
Back Bay,Worcester,6,2
Back Bay,Worcester,7,2
Back Bay,Worcester,8,8
Back Bay,Worcester,9,18
Back Bay,Worcester,10,18
Back Bay,Worcester,12,8
Back Bay,Worcester,13,2
Back Bay,Worcester,15,2
Back Bay,Worcester,16,10
Back Bay,Worcester,17,2
Back Bay,Worcester,18,2
Back Bay,Worcester,19,2
Back Bay,Worcester,20,4
