Route_id,Stop_id_list,Skip_id_list,Route_desc,Direc,Pair_id,Express_service
1,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19",,WorcesterToSouthStation,1,2,0
2,"1,2,3,4,23,24,25,8,9,10,11,12,13,14,15,16,17,18",,SouthStationToWorcester,0,1,0
3,"18,35,34,33,32,31,30,29,28,27,26, 25,24,23,22,21,20,19","25,24,23",InboundNewtonSkip,1,4,0
4,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18",,OutboundNewtonSkip,0,3,0
5,"31,30,29,28,27,26,25,24,23,22,21,20,19",,FraminghamToSouthStation,1,6,0
6,"1,2,3,4,23,24,25,8,9,10,11,12,13",,SouthStationToFramingham,0,5,0
7,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","29,28,27,26,25,24,23",SkipNatickCenterThroughNewtonville,1,8,0
8,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","8,9,10,11",SkipNewtonvilleThroughNatickCenter,0,7,0
9,"31,30,29,28,27,26,25,24,23,22,21,20,19","25,24,23",FraminghamToSouthStationNewtonSkip,1,10,0
10,"1,2,3,4,8,9,10,11,12,13",,SouthStationToFraminghamNewtonSkip,0,9,0
11,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,30,29,28,27,26,25,24,23,22",InboundHeartToHub,1,12,1
12,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","4,8,9,10,11,12,14,15,16,17",OutboundHeartToHub,0,11,1
13,"25,24,23,22,21,20,19",,InnerCoreInbound,1,14,0
14,"1,2,3,4,23,24,25",,InnerCoreOutbound,0,13,0
15,"25,24,23,22,21,20,19",,FAKE,1,16,0
16,"1,2,3,4,23,24,25",,FAKE,0,15,0
17,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,30,29,28,27,26,25,24,23,22",InboundHeartToHub,1,18,1
18,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","4,8,9,10,11,12,14,15,16,17",OutboundHeartToHub,0,17,1
