Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes,,,,,
94A,94A,110,73885.28,74255.35,183.08,182.85,2,4,1,0.75,6.25,5.5,,,1432.395,,,,,,,
94B,94B,111,74255.35,74641.51,182.85,182.61,2,4.166666667,1,0.75,6.25,5.5,,,1375.0992,,,,,,,
95,95,112,74641.51,75542.55,182.61,182.05,2,0,,,0,,,,,,,,,,,
96,96,113,75542.55,75703.45,182.05,181.95,2,4.95,0,0.75,6.25,5.5,,,1157.490909,,,,,,,
97,97,114,75703.45,76958.47,181.95,181.17,2,0,,,0,,,,,,,,,,,
98,98,115,76958.47,77505.53,181.17,180.83,2,1.75,0,0.75,6.25,5.5,,,3274.045714,,,,,,,
99,99,116,77505.53,81608.48,180.83,178.28,2,0,,,0,,,,,,,,,,,
100,100,117,81608.48,81672.84,178.28,178.24,2,0.03,1,0,0.38,0.38,,,190986,51617.83784,,,,,,
101,101,118,81672.84,82235.99,178.24,177.89,2,0,,,0,,,,,0,,,,,,
102,102,119,82235.99,82396.89,177.89,177.79,2,0.04,1,0,0.75,0.75,,,143239.5,38713.37838,,,,,,
103,103,120,82396.89,87947.94,177.79,174.34,2,0,,,0,,,,,0,,,,,,
104,104,121,87947.94,88591.54,174.34,173.94,2,1.55,1,0.37,6.25,5.88,,,3696.503226,999.0549259,,,,,,
105,105,122,88591.54,89605.21,173.94,173.31,2,0,,,0,,,,,0,,,,,,
106,106,123,89605.21,89878.74,173.31,173.14,2,1.25,0,1.12,6.25,5.13,,,4583.664,1238.828108,,,,,,
107,107,124,89878.74,91230.3,173.14,172.3,2,0,,,0,,,,,0,,,,,,
108A,108A,125,91230.3,91471.65,172.3,172.15,2,1.483333333,0,1.12,6.25,5.13,,,3862.638202,1043.956271,,,,,,
108B,108B,126,91471.65,91793.45,172.15,171.95,2,1.266666667,0,1.87,6.25,4.38,,,4523.352632,1222.527738,,,,,,
108C,108C,127,91793.45,92099.16,171.95,171.76,2,1.05,0,2.75,6.25,3.5,,,5456.742857,1474.795367,,,,,,
109,109,128,92099.16,93482.9,171.76,170.9,2,0,,,0,,,,,0,,,,,,
110,110,129,93482.9,93563.35,170.9,170.85,2,0.983333333,1,1.12,6.25,5.13,,,5826.691525,1574.781493,,,,,,
111,111,130,93563.35,96781.35,170.85,168.85,2,0,,,0,,,,,0,,,,,,
112,112,131,96781.35,97022.7,168.85,168.7,2,0.03,0,0,0.38,0.38,,,190986,51617.83784,,,,,,
113,113,132,97022.7,98374.26,168.7,167.86,2,0,,,0,,,,,0,,,,,,
114,114,133,98374.26,98535.16,167.86,167.76,2,0.096666667,1,0,0.38,0.38,,,59271.51724,16019.32898,,,,,,
115,115,134,98535.16,98583.43,167.76,167.73,2,0,,,0,,,,,0,,,,,,
116,116,135,98583.43,98728.24,167.73,167.64,2,0.09,0,0,0.38,0.38,,,63662,17205.94595,,,,,,
117,117,136,98728.24,102895.55,167.64,165.05,2,0,,,0,,,,,0,,,,,,
292,292,137,102895.55,110357.55,,,2,0,,,0,,,,,0,,,,,,
293,293,138,110357.55,112273.55,,,2,1.16454878,0,,6.25,,,,4920,1329.72973,,,,,,
294,294,139,112273.55,114423.55,,,2,0,,,0,,,,,0,,,,,,
295,295,140,114423.55,120323.55,,,2,0,,,0,,,,,0,,,,,,
296,296,141,120323.55,121418.55,,,2,1.588021064,1,,6.25,,,,3608,975.1351351,,,,,,
297,297,142,121418.55,121868.55,,,2,0,,,0,,,,,0,,,,,,
298,298,143,121868.55,122508.55,,,2,1.588021064,1,,6.25,,,,3608,975.1351351,,,,,,
299,299,144,122508.55,123596.55,,,2,0,,,0,,,,,0,,,,,,
300,300,145,123596.55,124596.55,,,2,2.183528963,0,,6.25,,,,2624,709.1891892,,,,,,
301,301,146,124596.55,125979.55,,,2,0,,,0,,,,,0,,,,,,
302,302,147,125979.55,126649.55,,,2,1.343710131,1,,6.25,,,,4264,1152.432432,,,,,,
303,303,148,126649.55,128728.55,,,2,0,,,0,,,,,0,,,,,,
304,304,149,128728.55,129888.55,,,2,1.588021064,0,,6.25,,,,3608,975.1351351,,,,,,
305,305,150,129888.55,130858.55,,,2,0,,,0,,,,,,,,,,,
306,306,151,130858.55,131892.55,,,2,1.455685976,1,,6.25,,,,3936,,,,,,,
307,307,152,131892.55,135052.55,,,2,0,,,0,,,,,,,,,,,
308,308,153,135052.55,135680.55,,,2,1.588021064,0,,6.25,,,,3608,,,,,,,
309,309,154,135680.55,136494.55,,,2,0,,,0,,,,,,,,,,,
310,310,155,136494.55,137414.55,,,2,1.940914634,1,,6.25,,,,2952,,,,,,,
311,311,156,137414.55,140564.55,,,2,0,,,0,,,,,,,,,,,
312,312,157,140564.55,141184.55,,,2,2.329097561,0,,6.25,,,,2460,,,,,,,
313,313,158,141184.55,141744.55,,,2,0,,,0,,,,,,,,,,,
314,314,159,141744.55,142667,,,2,1.98502633,0,,6.25,,,,2886.4,,,,,,,
315,315,160,142667,144049,,,2,0,,,0,,,,,,,,,,,
316,316,161,144049,145137,,,2,1.940914634,1,,6.25,,,,2952,,,,,,,
317,317,162,145137,145752,,,2,0,,,0,,,,,,,,,,,
318,318,163,145752,146672,,,2,2.055086083,0,,6.25,,,,2788,,,,,,,
319,319,164,146672,150052,,,2,0,,,0,,,,,,,,,,,
320,320,165,150052,150712,,,2,3.881829268,1,,6.25,,,,1476,,,,,,,
321,321,166,150712,151142,,,2,0,,,0,,,,,,,,,,,
322,322,167,151142,151682,,,2,2.392908453,0,,6.25,,,,2394.4,,,,,,,
323,323,168,151682,151937,,,2,0,,,0,,,,,,,,,,,
324,324,169,151937,152497,,,2,2.911371951,0,,6.25,,,,1968,,,,,,,
325,325,170,152497,153122,,,2,0,,,0,,,,,,,,,,,
326,326,171,153122,153848,,,2,1.588021064,1,,6.25,,,,3608,,,,,,,
327,327,172,153848,154298,,,2,0,,,0,,,,,,,,,,,
328,328,173,154298,154828,,,2,3.234857724,1,,6.25,,,,1771.2,,,,,,,
329,329,174,154828,156586,,,2,0,,,0,,,,,,,,,,,
330,330,175,156586,157176,,,2,4.367057927,0,,6.25,,,,1312,,,,,,,
331,331,176,157176,157886,,,2,0,,,0,,,,,,,,,,,
332,332,177,157886,158556,,,2,2.183528963,0,,6.25,,,,2624,,,,,,,
333,333,178,158556,159494,,,2,0,,,0,,,,,,,,,,,
334,334,179,159494,160134,,,2,1.343710131,1,,6.25,,,,4264,,,,,,,
335,335,180,160134,160684,,,2,0,,,0,,,,,,,,,,,
336,336,181,160684,161224,,,2,2.055086083,1,,6.25,,,,2788,,,,,,,
337,337,182,161224,161559,,,2,0,,,0,,,,,,,,,,,
338,338,183,161559,162013,,,2,3.011764087,1,,6.25,,,,1902.4,,,,,,,
339,339,184,162013,162173,,,2,0,,,0,,,,,,,,,,,
340,340,185,162173,162690,,,2,1.455685976,1,,6.25,,,,3936,,,,,,,
341,341,186,162690,164946,,,2,0,,,0,,,,,,,,,,,
342,342,187,164946,165696,,,2,0.998184669,0,,6.25,,,,5740,,,,,,,
343,343,188,165696,166746,,,2,0,,,0,,,,,,,,,,,
344,344,189,166746,167122,,,2,3.493646341,1,,6.25,,,,1640,,,,,,,
345,345,190,167122,167622,,,2,1.588021064,0,,6.25,,,,3608,,,,,,,
346,346,191,167622,168087,,,2,0,,,0,,,,,,,,,,,
347,347,192,168087,168417,,,2,4.658195122,1,,6.25,,,,1230,,,,,,,
348,348,193,168417,169677,,,2,1.455685976,0,,6.25,,,,3936,,,,,,,
349,349,194,169677,170190,,,2,0,,,0,,,,,,,,,,,
350,350,195,170190,170560,,,2,3.176042129,0,,6.25,,,,1804,,,,,,,
351,351,196,170560,171481,,,2,0,,,0,,,,,,,,,,,
352,352,197,171481,172031,,,2,6.238654181,0,,6.25,,,,918.4,,,,,,,
353,353,198,172031,172351,,,2,0,,,0,,,,,,,,,,,
354,354,199,172351,172626,,,2,8.318205575,1,,6.25,,,,688.8,,,,,,,
355,355,200,172626,172776,,,2,0,,,0,,,,,,,,,,,
356,356,201,172776,173096,,,2,3.234857724,0,,6.25,,,,1771.2,,,,,,,
357,357,202,173096,174596,,,2,0,,,0,,,,,,,,,,,
358,358,203,174596,175036,,,2,3.881829268,1,,6.25,,,,1476,,,,,,,
359,359,204,175036,175336,,,2,0,,,0,,,,,,,,,,,
360,360,205,175336,175876,,,2,1.343710131,1,,6.25,,,,4264,,,,,,,
361,361,206,175876,177116,,,2,0,,,0,,,,,,,,,,,
362,362,207,177116,177646,,,2,2.568857604,0,,6.25,,,,2230.4,,,,,,,
363,363,208,177646,178246,,,2,0,,,0,,,,,,,,,,,
364,364,209,178246,178806,,,2,2.687420263,0,,6.25,,,,2132,,,,,,,
365,365,210,178806,178986,,,2,0,,,0,,,,,,,,,,,
366,366,211,178986,179146,,,2,2.911371951,1,,6.25,,,,1968,,,,,,,
367,367,212,179146,179666,,,2,0,,,0,,,,,,,,,,,
368,368,213,179666,180166,,,2,2.646701774,1,,6.25,,,,2164.8,,,,,,,
369,369,214,180166,180966,,,2,0,,,0,,,,,,,,,,,
370,370,215,180966,181716,,,2,3.011764087,1,,6.25,,,,1902.4,,,,,,,
371,371,216,181716,181816,,,2,0,,,0,,,,,,,,,,,
372,372,217,181816,182276,,,2,2.10460623,0,,6.25,,,,2722.4,,,,,,,
373,373,218,182276,183661,,,2,1.588021064,0,,6.25,,,,3608,,,,,,,
374,374,219,183661,185711,,,2,0,,,0,,,,,,,,,,,
375,375,220,185711,186298,,,2,1.588021064,0,,6.25,,,,3608,,,,,,,
376,376,221,186298,186898,,,2,0,,,0,,,,,,,,,,,
377,377,222,186898,187643,,,2,2.183528963,1,,6.25,,,,2624,,,,,,,
378,378,223,187643,188569,,,2,0,,,0,,,,,,,,,,,
379,379,224,188569,188915,,,2,1.782472623,0,,6.25,,,,3214.4,,,,,,,
380,380,225,188915,189289,,,2,2.687420263,1,,6.25,,,,2132,,,,,,,
381,381,226,189289,189663,,,2,3.119327091,0,,6.25,,,,1836.8,,,,,,,
382,382,227,189663,191243,,,2,0,,,0,,,,,,,,,,,
383,383,228,191243,191770,,,2,2.055086083,1,,6.25,,,,2788,,,,,,,
384,384,229,191770,192390,,,2,0,,,0,,,,,,,,,,,
385,385,230,192390,193118,,,2,1.940914634,1,,6.25,,,,2952,,,,,,,
386,386,231,193118,193842,,,2,1.940914634,0,,6.25,,,,2952,,,,,,,
387,387,232,193842,194312,,,2,0,,,0,,,,,,,,,,,
388,388,233,194312,196472,,,2,0.545882241,1,,6.25,,,,10496,,,,,,,
389,389,234,196472,197302,,,2,0,,,0,,,,,,,,,,,
390,390,235,197302,198002,,,2,1.746823171,0,,6.25,,,,3280,,,,,,,
391,391,236,198002,198832,,,2,0,,,0,,,,,,,,,,,
392,392,237,198832,199172,,,2,4.367057927,0,,6.25,,,,1312,,,,,,,
393,393,238,199172,202972,,,2,0,,,0,,,,,,,,,,,
394,394,239,202972,203412,,,2,1.746823171,1,,6.25,,,,3280,,,,,,,
395,395,240,203412,205686,,,2,0,,,0,,,,,,,,,,,
396,396,241,205686,206136,,,2,1.746823171,1,,6.25,,,,3280,,,,,,,
397,397,242,206136,207966,,,2,0,,,0,,,,,,,,,,,
398,398,243,207966,208966,,,2,1.940914634,0,,6.25,,,,2952,,,,,,,
399,399,244,208966,209722,,,2,1.425978099,1,,6.25,,,,4018,,,,,,,
400,400,245,209722,210992,,,2,0,,,0,,,,,,,,,,,
401,401,246,210992,212412,,,2,1.091764482,1,,6.25,,,,5248,,,,,,,
402,402,247,212412,213042,,,2,0,,,0,,,,,,,,,,,
403,403,248,213042,213732,,,2,0.970457317,0,,6.25,,,,5904,,,,,,,
404,404,249,213732,214692,,,2,0,,,0,,,,,,,,,,,
405,405,250,214692,215492,,,2,1.247730836,1,,6.25,,,,4592,,,,,,,
406,406,251,215492,217692,,,2,0,,,0,,,,,,,,,,,
407,407,252,217692,218242,,,2,2.495461672,0,,6.25,,,,2296,,,,,,,
408,408,253,218242,220022,,,2,0,,,0,,,,,,,,,,,
409,409,254,220022,220652,,,2,1.16454878,1,,6.25,,,,4920,,,,,,,
410,410,255,220652,222782,,,2,0,,,0,,,,,,,,,,,
411,411,256,222782,223412,,,2,0.873411585,0,,6.25,,,,6560,,,,,,,
412,412,257,223412,224448,,,2,0,,,0,,,,,,,,,,,
413,413,258,224448,224955,,,2,0.698729268,0,,6.25,,,,8200,,,,,,,
414,414,259,224955,227864,,,2,0,,,0,,,,,,,,,,,
415,415,260,227864,228724,,,2,0.970457317,0,,6.25,,,,5904,,,,,,,
416,416,261,228724,229349,,,2,0,,,0,,,,,,,,,,,
417,417,262,229349,230017,,,2,2.183528963,1,,6.25,,,,2624,,,,,,,
418,418,263,230017,231997,,,2,0,,,0,,,,,,,,,,,
419,419,264,231997,232487,,,2,2.055086083,1,,6.25,,,,2788,,,,,,,
420,420,265,232487,235327,,,2,0,,,0,,,,,,,,,,,
421,421,266,235327,236537,,,2,0.873411585,0,,6.25,,,,6560,,,,,,,
422,422,267,236537,236967,,,2,0,,,0,,,,,,,,,,,
423,423,268,236967,238737,,,2,0.545882241,1,,6.25,,,,10496,,,,,,,
424,424,269,238737,239207,,,2,3.881829268,0,,6.25,,,,1476,,,,,,,
425,425,270,239207,239437,,,2,0,,,0,,,,,,,,,,,
426,426,271,239437,239787,,,2,3.295892775,1,,6.25,,,,1738.4,,,,,,,
427,427,272,239787,240324,,,2,0,,,0,,,,,,,,,,,
428,428,273,240324,240884,,,2,1.343710131,1,,6.25,,,,4264,,,,,,,
429,429,274,240884,241208,,,2,0,,,0,,,,,,,,,,,
430,430,275,241208,241599,,,2,3.493646341,1,,6.25,,,,1640,,,,,,,
431,431,276,241599,242899,,,2,1.343710131,0,,6.25,,,,4264,,,,,,,
432,432,277,242899,243899,,,2,0,,,0,,,,,,,,,,,
433,433,278,243899,244379,,,2,1.293943089,1,,6.25,,,,4428,,,,,,,
434,434,279,244379,244579,,,2,0,,,0,,,,,,,,,,,
435,435,280,244579,244909,,,2,3.234857724,1,,6.25,,,,1771.2,,,,,,,
436,436,281,244909,245537,,,2,0,,,0,,,,,,,,,,,
437,437,282,245537,246470,,,2,1.293943089,1,,6.25,,,,4428,,,,,,,
438,438,283,246470,248170,,,2,0,,,0,,,,,,,,,,,
439,439,284,248170,250570,,,2,1.838761232,0,,6.25,,,,3116,,,,,,,
440,440,285,250570,251894,,,2,0,,,0,,,,,,,,,,,
441,441,286,251894,252224,,,2,4.852286585,1,,6.25,,,,1180.8,,,,,,,
442,442,287,252224,252534,,,2,4.852286585,0,,6.25,,,,1180.8,,,,,,,
443,443,288,252534,252844,,,2,0,,,0,,,,,,,,,,,
444,444,289,252844,253102,,,2,4.479033771,0,,6.25,,,,1279.2,,,,,,,
445,445,290,253102,253642,,,2,0,,,0,,,,,,,,,,,
446,446,291,253642,253942,,,2,2.495461672,0,,6.25,,,,2296,,,,,,,
447,447,292,253942,254232,,,2,3.797441676,1,,6.25,,,,1508.8,,,,,,,
448,448,293,254232,254487,NEW HAVEN..?,,2,0,,,0,,,,,,,,,,,
,1,,254487,71.9,START METRO NORTH,,2,3.133333333,1,,0,,,,,,,,,,,
,2,,71.9,70.92,,,2,0,,,,,,,,,,,,,,
,3,,70.92,70.72,,,2,1.25,,,2.25,,,,,,,,,,,
,4,,70.72,69.82,,,2,0,,,,,,,,,,,,,,
,5,,69.82,69.63,,,2,2,,,5.25,,,,,,,,,,,
,6,,69.63,69.33,,,2,0,,,,,,,,,,,,,,
,7,,69.33,68.86,,,2,1,,,2.25,,,,,,,,,,,
,8,,68.86,66.88,,,2,0,,,,,,,,,,,,,,
,9,,66.88,66.59,,,2,0.5,,,1,,,,,,,,,,,
,10,,66.59,65.4,,,2,0,,,,,,,,,,,,,,
,11,,65.4,65.25,,,2,0.766666667,,,2.25,,,,,,,,,,,
,12,,65.25,64.7,,,2,0,,,,,,,,,,,,,,
,13,,64.7,64.35,,,2,1.25,,,3,,,,,,,,,,,
,14,,64.35,63.6,,,2,0,,,,,,,,,,,,,,
